indicator,release_time(utc+8),actual,forecast,previous,updated_at
CPI_MOM,2026-03-11 20:30,0.3%,0.3%,0.2%,2026-03-19 20:55:27+08:00
CPI_MOM,2026-02-13 21:30,0.2%,0.3%,0.3%,2026-03-19 20:55:27+08:00
CPI_MOM,2026-01-13 21:30,0.3%,0.3%,,2026-03-19 20:55:27+08:00
CPI_MOM,2025-12-18 21:30,,0.3%,,2026-03-19 20:55:27+08:00
CPI_MOM,2025-10-24 20:30,0.3%,0.4%,0.4%,2026-03-19 20:55:27+08:00
CPI_MOM,2025-09-11 20:30,0.4%,0.3%,0.2%,2026-03-19 20:55:27+08:00
CPI_MOM,2025-08-12 20:30,0.2%,0.2%,0.3%,2026-03-19 20:55:27+08:00
CPI_MOM,2025-07-15 20:30,0.3%,0.3%,0.1%,2026-03-19 20:55:27+08:00
CPI_MOM,2025-06-11 20:30,0.1%,0.2%,0.2%,2026-03-19 20:55:27+08:00
CPI_MOM,2025-05-13 20:30,0.2%,0.3%,-0.1%,2026-03-19 20:55:27+08:00
CPI_MOM,2025-04-10 20:30,-0.1%,0.1%,0.2%,2026-03-19 20:55:27+08:00
CPI_MOM,2025-03-12 20:30,0.2%,0.3%,0.5%,2026-03-19 20:55:27+08:00
CPI_MOM,2025-02-12 21:30,0.5%,0.3%,0.4%,2026-03-19 20:55:27+08:00
CPI_MOM,2025-01-15 21:30,0.4%,0.3%,0.3%,2026-03-19 20:55:27+08:00
CPI_MOM,2024-12-11 21:30,0.3%,0.3%,0.2%,2026-03-19 20:55:27+08:00
CPI_MOM,2024-11-13 21:30,0.2%,0.2%,0.2%,2026-03-19 20:55:27+08:00
CPI_MOM,2024-10-10 21:30,0.2%,0.1%,0.2%,2026-03-19 20:55:27+08:00
CPI_MOM,2024-09-11 20:30,0.2%,0.2%,0.2%,2026-03-19 20:55:27+08:00
CPI_MOM,2024-08-14 20:30,0.2%,0.2%,-0.1%,2026-03-19 20:55:27+08:00
CPI_MOM,2024-07-11 20:30,-0.1%,0.1%,,2026-03-19 20:55:27+08:00
CPI_MOM,2024-06-12 20:30,,0.1%,0.3%,2026-03-19 20:55:27+08:00
CPI_MOM,2024-05-15 20:30,0.3%,0.4%,0.4%,2026-03-19 20:55:27+08:00
CPI_MOM,2024-04-10 20:30,0.4%,0.3%,0.4%,2026-03-19 20:55:27+08:00
CPI_MOM,2024-03-12 20:30,0.4%,0.4%,0.3%,2026-03-19 20:55:27+08:00
CPI_MOM,2024-02-13 21:30,0.3%,0.2%,0.2%,2026-03-19 20:55:27+08:00
CPI_MOM,2024-02-09 21:30,0.2%,,0.2%,2026-03-19 20:55:27+08:00
CPI_MOM,2024-01-11 21:30,0.3%,0.2%,0.1%,2026-03-19 20:55:27+08:00
CPI_YoY,2026-03-11 20:30,2.4%,2.4%,2.4%,2026-03-19 20:55:27+08:00
CPI_YoY,2026-02-13 21:30,2.4%,2.5%,2.7%,2026-03-19 20:55:27+08:00
CPI_YoY,2026-01-13 21:30,2.7%,2.7%,2.7%,2026-03-19 20:55:27+08:00
CPI_YoY,2025-12-18 21:30,2.7%,3.1%,,2026-03-19 20:55:27+08:00
CPI_YoY,2025-10-24 20:30,3.0%,3.1%,2.9%,2026-03-19 20:55:27+08:00
CPI_YoY,2025-09-11 20:30,2.9%,2.9%,2.7%,2026-03-19 20:55:27+08:00
CPI_YoY,2025-08-12 20:30,2.7%,2.8%,2.7%,2026-03-19 20:55:27+08:00
CPI_YoY,2025-07-15 20:30,2.7%,2.7%,2.4%,2026-03-19 20:55:27+08:00
CPI_YoY,2025-06-11 20:30,2.4%,2.5%,2.3%,2026-03-19 20:55:27+08:00
CPI_YoY,2025-05-13 20:30,2.3%,2.4%,2.4%,2026-03-19 20:55:27+08:00
